pipeline,precision@3,recall@3,precision@5,recall@5,precision@10,recall@10
BM25,0.8,0.06,0.78,0.1,0.83,0.211
Semantic,0.967,0.061,0.96,0.101,0.96,0.202
Hybrid,0.9,0.063,0.92,0.106,0.87,0.201
